Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	637000297	Streptococcus pyogenes sv. M1 MGAS5005	
Bacteria	Permanent Draft	638341208	Streptococcus pyogenes M49 591	
Bacteria	Finished	640427130	Chlorobium phaeovibrioides DSM 265	
Bacteria	Finished	640753039	Parabacteroides distasonis ATCC 8503	
Bacteria	Permanent Draft	640963023	Bacteroides caccae ATCC 43185	
Bacteria	Finished	641522655	Thermoanaerobacter pseudethanolicus 39E, ATCC 33223	
Bacteria	Finished	641522656	Thermoanaerobacter sp. X514	
Bacteria	Finished	642487181	Thermotoga sp. RQ2	
Bacteria	Permanent Draft	642791610	Acetivibrio thermocellus JW20	
Bacteria	Finished	643348527	Chloroflexus aggregans DSM 9485	
Bacteria	Finished	643348530	Coprothermobacter proteolyticus DSM 5265	
Bacteria	Permanent Draft	642979334	Bacteroides eggerthii DSM 20697	
Bacteria	Permanent Draft	642979359	Lachnoclostridium hylemonae DSM 15053	
Bacteria	Finished	643692038	Streptococcus equi equi 4047	
Bacteria	Permanent Draft	643886051	Lacticaseibacillus paracasei subsp. paracasei ATCC 25302	
Bacteria	Permanent Draft	643886127	Lacticaseibacillus rhamnosus LMS2-1	
Bacteria	Permanent Draft	643886142	Porphyromonas uenonis 60-3	
Bacteria	Permanent Draft	643886203	Anaerobutyricum hallii DSM 3353	
Bacteria	Permanent Draft	643886206	Clostridium methylpentosum R2, DSM 5476	
Bacteria	Finished	644736333	Candidatus Accumulibacter phosphatis Type IIA UW-1	
Bacteria	Finished	646311927	Fibrobacter succinogenes S85	
Bacteria	Finished	646311964	Thermotoga naphthophila RKU-10	
Bacteria	Permanent Draft	645951829	Ruminococcus flavefaciens FD-1	
Bacteria	Permanent Draft	645951855	Jonquetella anthropi E3_33 E1	
Bacteria	Permanent Draft	645951866	Fusobacterium gonidiaformans 3-1-5R	
Bacteria	Permanent Draft	645951869	Treponema vincentii ATCC 35580	
Bacteria	Permanent Draft	646206272	Bacteroides thetaiotaomicron 1_1_6	
Bacteria	Permanent Draft	647000215	Bacteroides xylanisolvens SD CC 1b	
Bacteria	Permanent Draft	647533111	Bacteroides sp. 2_1_22	
Bacteria	Permanent Draft	647533127	Enterococcus casseliflavus EC10	
Bacteria	Permanent Draft	647533129	Enterococcus casseliflavus EC30	
Bacteria	Permanent Draft	647533133	Enterococcus faecalis D6	
Bacteria	Permanent Draft	647533142	Enterococcus faecalis T2, Sapporo-603	
Bacteria	Finished	649633061	Lacticaseibacillus paracasei Zhang	
Bacteria	Finished	650377936	Eubacterium rectale DSM 17629	
Bacteria	Finished	650377969	Ruminococcus sp. 18P13	
Bacteria	Permanent Draft	649989934	Enterococcus faecalis TX0102	
Bacteria	Permanent Draft	649989971	Megasphaera micronuciformis F0359	
Bacteria	Permanent Draft	649989987	Prevotella multiformis DSM 16608	
Bacteria	Permanent Draft	649990026	Treponema phagedenis F0421	
Bacteria	Finished	650716094	Tepidanaerobacter sp. Re1	
Bacteria	Finished	650377937	Eubacterium rectale M104/1	
Bacteria	Finished	2506520015	Sulfobacillus acidophilus NAL, DSM 10332	
Bacteria	Permanent Draft	651324096	Rubrivivax benzoatilyticus JA2	
Bacteria	Permanent Draft	2503982046	Peptoniphilus asaccharolyticus UW 228, DSM 20463	
Bacteria	Permanent Draft	651324026	Dysgonomonas gadei ATCC BAA-286	
Bacteria	Permanent Draft	651324090	Prevotella pallens ATCC 700821	
Bacteria	Finished	2509276066	Prevotella dentalis ES 2772, DSM 3688	
Bacteria	Finished	2510065086	Mesotoga prima MesG1AG4.2	
Bacteria	Permanent Draft	645058833	Fusobacterium nucleatum animalis D11	
